GISJOIN,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,ASQPE001,ASQPM001,STATE,COUNTY,streetlight_count_raw,streetlight_count_est,streetlight_count,tract_geoid
G1700310010100,17,031,010100,17031010100,101,Census Tract 101,G5020,S,379511.0,0.0,+42.0212553,-087.6698301,2833.02494862,379510.586791,69460.0,21834.0,Illinois,Cook County,79,131,79,17031010100
G1700310010201,17,031,010201,17031010201,102.01,Census Tract 102.01,G5020,S,504464.0,0.0,+42.0160077,-087.6801484,2837.32581402,504462.113257,49639.0,24247.0,Illinois,Cook County,70,177,70,17031010201
G1700310010202,17,031,010202,17031010202,102.02,Census Tract 102.02,G5020,S,351253.0,0.0,+42.0160476,-087.6733256,2497.85000929,351254.338248,55119.0,15618.0,Illinois,Cook County,66,134,66,17031010202
G1700310010300,17,031,010300,17031010300,103,Census Tract 103,G5020,S,472522.0,0.0,+42.0159431,-087.6665393,2972.47439986,472524.313523,65871.0,14559.0,Illinois,Cook County,85,174,85,17031010300
G1700310010400,17,031,010400,17031010400,104,Census Tract 104,G5020,S,548761.0,602605.0,+42.0064109,-087.6588157,4351.04960023,548760.54202,49017.0,8306.0,Illinois,Cook County,32,115,32,17031010400
G1700310010501,17,031,010501,17031010501,105.01,Census Tract 105.01,G5020,S,202133.0,0.0,+42.0094119,-087.6639583,2102.59200161,202134.794271,48250.0,9460.0,Illinois,Cook County,21,70,21,17031010501
G1700310010502,17,031,010502,17031010502,105.02,Census Tract 105.02,G5020,S,180386.0,0.0,+42.0045173,-087.6633273,1890.86395476,180386.374861,61367.0,9643.0,Illinois,Cook County,38,79,38,17031010502
G1700310010503,17,031,010503,17031010503,105.03,Census Tract 105.03,G5020,S,194213.0,0.0,+42.0003207,-087.6631262,1771.18753065,194213.451217,21924.0,6272.0,Illinois,Cook County,32,65,32,17031010503
G1700310010600,17,031,010600,17031010600,106,Census Tract 106,G5020,S,495017.0,0.0,+42.0062774,-087.6676830,4110.54809897,495015.598122,71920.0,17025.0,Illinois,Cook County,121,186,121,17031010600
G1700310010701,17,031,010701,17031010701,107.01,Census Tract 107.01,G5020,S,429690.0,0.0,+42.0091482,-087.6786204,2691.25890629,429691.54306,74208.0,13404.0,Illinois,Cook County,48,140,48,17031010701
G1700310010702,17,031,010702,17031010702,107.02,Census Tract 107.02,G5020,S,357548.0,0.0,+42.0090199,-087.6727257,2543.00470587,357548.34843,58289.0,7232.0,Illinois,Cook County,68,130,68,17031010702
G1700310020100,17,031,020100,17031020100,201,Census Tract 201,G5020,S,411155.0,0.0,+42.0157210,-087.6871169,2670.85395281,411151.357,69850.0,13376.0,Illinois,Cook County,55,147,55,17031020100
G1700310020200,17,031,020200,17031020200,202,Census Tract 202,G5020,S,1241961.0,0.0,+42.0156903,-087.6995191,4696.37063886,1241963.06917,115559.0,15268.0,Illinois,Cook County,208,493,208,17031020200
G1700310020301,17,031,020301,17031020301,203.01,Census Tract 203.01,G5020,S,825541.0,0.0,+42.0068651,-087.7051865,4385.77773365,825540.953395,76327.0,14844.0,Illinois,Cook County,89,234,89,17031020301
G1700310020302,17,031,020302,17031020302,203.02,Census Tract 203.02,G5020,S,639920.0,0.0,+42.0085406,-087.6949634,3200.59481477,639919.048182,81563.0,19335.0,Illinois,Cook County,120,252,120,17031020302
G1700310020400,17,031,020400,17031020400,204,Census Tract 204,G5020,S,555577.0,0.0,+42.0084880,-087.6859118,3049.24841473,555573.226547,81840.0,29768.0,Illinois,Cook County,94,215,94,17031020400
