request_id,service_request_number,crime_streetlight_outage,time_to_fix,days_from_outage_request,primary_type,geometry,GEOID,ASQPE001
11-00045319,11-00045319,0,1.0,-7.09375,THEFT,POINT (1174359.000059927 1889753.0000495447),17031841100,43527.0
11-00011505,11-00011505,0,10.0,-0.0625,BATTERY,POINT (1168179.9998914357 1924066.999935365),17031832000,146944.0
11-00011500,11-00011500,0,10.0,-0.0625,BATTERY,POINT (1168179.9998914357 1924066.999935365),17031832000,146944.0
11-00037738,11-00037738,0,3.0,-3.191666666666667,NARCOTICS,POINT (1181278.9999697322 1852568.0001459476),17031440201,38257.0
11-00018178,11-00018178,0,1.0,-0.11805555555555555,BATTERY,POINT (1191926.9999529577 1851994.0001641526),17031460500,54850.0
11-00004480,11-00004480,1,9.0,2.8472222222222223,MOTOR VEHICLE THEFT,POINT (1148552.0000850533 1927103.9998733301),17031160300,76083.0
11-00049892,11-00049892,0,2.0,-5.18125,ASSAULT,POINT (1171083.9998657454 1862092.000026496),17031681000,27844.0
11-00053617,11-00053617,0,1.0,-4.03125,MOTOR VEHICLE THEFT,POINT (1142020.0001334434 1914512.0001382618),17031191100,53683.0
11-00028929,11-00028929,1,4.0,1.9583333333333333,MOTOR VEHICLE THEFT,POINT (1187691.999866616 1845430.999845254),17031480300,54268.0
11-00088408,11-00088408,0,2.0,-8.0625,MOTOR VEHICLE THEFT,POINT (1164459.9999677674 1862052.9998368921),17031671300,29563.0
11-00047413,11-00047413,1,8.0,2.8125,BURGLARY,POINT (1181299.999901611 1851806.9998975901),17031440201,38257.0
11-00104343,11-00104343,0,2.0,-8.013194444444444,NARCOTICS,POINT (1168459.0000007157 1873363.9998887128),17031612200,46227.0
11-00046601,11-00046601,1,9.0,4.90625,ROBBERY,POINT (1150450.0000417887 1886866.0001096793),17031300500,76023.0
11-00072929,11-00072929,1,3.0,0.8888888888888888,BATTERY,POINT (1181283.0000727123 1852438.9998746817),17031440201,38257.0
11-00105724,11-00105724,0,2.0,-1.1666666666666667,MOTOR VEHICLE THEFT,POINT (1160318.9999159374 1879366.9999535538),17031580100,49323.0
11-00097399,11-00097399,0,0.0,-0.16666666666666666,MOTOR VEHICLE THEFT,POINT (1160318.9999159374 1879366.9999535538),17031580100,49323.0
11-00102927,11-00102927,0,0.0,-0.16666666666666666,MOTOR VEHICLE THEFT,POINT (1160318.9999159374 1879366.9999535538),17031580100,49323.0
11-00096167,11-00096167,1,1.0,0.8333333333333334,MOTOR VEHICLE THEFT,POINT (1160318.9999159374 1879366.9999535538),17031580100,49323.0
11-00097057,11-00097057,1,1.0,0.8333333333333334,MOTOR VEHICLE THEFT,POINT (1160318.9999159374 1879366.9999535538),17031580100,49323.0
11-00129809,11-00129809,0,6.0,-5.118055555555555,ROBBERY,POINT (1186931.9999504625 1862181.0001205276),17031843900,47760.0
11-00113748,11-00113748,0,1.0,-3.1180555555555554,ROBBERY,POINT (1186931.9999504625 1862181.0001205276),17031843900,47760.0
11-00186212,11-00186212,0,5.0,-8.211805555555555,THEFT,POINT (1181573.0000017656 1853905.999831161),17031691400,35495.0
11-00151254,11-00151254,0,8.0,-3.2083333333333335,CRIMINAL DAMAGE,POINT (1199249.0000671865 1850760.9999565044),17031460100,48207.0
11-00114135,11-00114135,1,11.0,3.7916666666666665,CRIMINAL DAMAGE,POINT (1199249.0000671865 1850760.9999565044),17031460100,48207.0
11-00207656,11-00207656,0,1.0,-8.17361111111111,NARCOTICS,POINT (1169251.000013802 1868631.999869257),17031611900,39375.0
11-00129809,11-00129809,1,6.0,5.75,BATTERY,POINT (1186931.9999504625 1862181.0001205276),17031843900,47760.0
11-00194379,11-00194379,0,2.0,-4.2335416666666665,NARCOTICS,POINT (1173233.9999555743 1856239.0001774817),17031681300,21888.0
11-00243503,11-00243503,0,1.0,-9.052777777777777,CRIMINAL TRESPASS,POINT (1178087.0000724792 1852433.9998591896),17031440300,55476.0
