GEOID,total_outage_days,median_income,n_requests,pre_n,dur_n,pre_rate,dur_rate,rate_change,crime_increased
17031010100,2.0,69460.0,1,0.0,0.0,0.0,0.0,0.0,False
17031010201,28.0,49639.0,3,2.0,1.0,0.07142857142857142,0.03571428571428571,-0.03571428571428571,False
17031010202,29.0,55119.0,5,0.0,3.0,0.0,0.10344827586206896,0.10344827586206896,True
17031010300,31.0,65871.0,10,4.0,5.0,0.12903225806451613,0.16129032258064516,0.03225806451612903,True
17031010501,29.0,48250.0,5,4.0,1.0,0.13793103448275862,0.034482758620689655,-0.10344827586206896,False
17031010600,3.0,71920.0,2,1.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,False
17031010701,10.0,74208.0,2,1.0,0.0,0.1,0.0,-0.1,False
17031020100,3.0,69850.0,1,0.0,0.0,0.0,0.0,0.0,False
17031020200,1.0,115559.0,1,1.0,0.0,1.0,0.0,-1.0,False
17031020302,13.0,81563.0,4,1.0,0.0,0.07692307692307693,0.0,-0.07692307692307693,False
17031020500,9.0,46458.0,3,2.0,1.0,0.2222222222222222,0.1111111111111111,-0.1111111111111111,False
17031020602,10.0,87804.0,3,0.0,0.0,0.0,0.0,0.0,False
17031020802,7.0,70044.0,3,0.0,1.0,0.0,0.14285714285714285,0.14285714285714285,True
17031020902,1.0,47963.0,1,0.0,0.0,0.0,0.0,0.0,False
17031030101,26.0,49132.0,5,2.0,3.0,0.07692307692307693,0.11538461538461539,0.038461538461538464,True
17031030102,3.0,59622.0,1,0.0,0.0,0.0,0.0,0.0,False
17031030200,2.0,103758.0,2,2.0,0.0,1.0,0.0,-1.0,False
17031030300,3.0,67143.0,1,1.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,False
17031030500,51.0,123464.0,5,0.0,2.0,0.0,0.0392156862745098,0.0392156862745098,True
17031030603,2.0,54415.0,1,0.0,0.0,0.0,0.0,0.0,False
17031030604,1.0,51032.0,1,0.0,0.0,0.0,0.0,0.0,False
17031030703,3.0,68861.0,2,1.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,False
17031030706,8.0,50431.0,1,0.0,0.0,0.0,0.0,0.0,False
17031030800,48.0,96719.0,2,2.0,0.0,0.041666666666666664,0.0,-0.041666666666666664,False
17031031200,10.0,27869.0,2,1.0,0.0,0.1,0.0,-0.1,False
17031031400,4.0,87500.0,2,1.0,0.0,0.25,0.0,-0.25,False
17031031501,2.0,51731.0,1,0.0,0.0,0.0,0.0,0.0,False
17031031700,8.0,82774.0,1,0.0,1.0,0.0,0.125,0.125,True
17031040201,5.0,103409.0,1,1.0,0.0,0.2,0.0,-0.2,False
17031040202,6.0,62500.0,3,1.0,0.0,0.16666666666666666,0.0,-0.16666666666666666,False
17031040402,38.0,94541.0,6,1.0,3.0,0.02631578947368421,0.07894736842105263,0.05263157894736842,True
17031040600,5.0,90921.0,2,0.0,1.0,0.0,0.2,0.2,True
17031040700,3.0,109205.0,1,1.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,False
17031040900,0.0,92167.0,1,0.0,0.0,,,,False
17031050200,4.0,124167.0,2,0.0,1.0,0.0,0.25,0.25,True
17031050300,0.0,166681.0,1,0.0,0.0,,,,False
17031050500,23.0,144250.0,2,0.0,1.0,0.0,0.043478260869565216,0.043478260869565216,True
17031051300,5.0,199890.0,1,1.0,0.0,0.2,0.0,-0.2,False
17031051400,1.0,150357.0,1,0.0,0.0,0.0,0.0,0.0,False
17031060100,3.0,145313.0,2,0.0,0.0,0.0,0.0,0.0,False
17031060200,10.0,91081.0,2,0.0,2.0,0.0,0.2,0.2,True
17031060300,5.0,139306.0,1,1.0,0.0,0.2,0.0,-0.2,False
17031060800,14.0,83534.0,3,1.0,1.0,0.07142857142857142,0.07142857142857142,0.0,False
17031061000,4.0,116500.0,1,1.0,0.0,0.25,0.0,-0.25,False
17031061100,1.0,123750.0,1,0.0,0.0,0.0,0.0,0.0,False
17031062000,5.0,133514.0,1,1.0,0.0,0.2,0.0,-0.2,False
17031062700,5.0,136667.0,2,0.0,0.0,0.0,0.0,0.0,False
17031062900,24.0,181429.0,1,1.0,0.0,0.041666666666666664,0.0,-0.041666666666666664,False
